subjectId,name,type
45491,环保科学,化学
53010,生物高考复习3,校本课程
53011,生物高考复习4,校本课程
53012,语文高考复习3,校本课程
53013,语文高考复习4,校本课程
53014,化学高考复习3,校本课程
53015,化学高考复习4,校本课程
53016,英语高考复习3,校本课程
53017,英语高考复习4,校本课程
53022,数学高考复习3,校本课程
53023,数学高考复习4,校本课程
53024,物理高考复习3,校本课程
53025,物理高考复习4,校本课程
53002,生物高考复习1,校本课程
53003,生物高考复习2,校本课程
52977,语文高考复习1,校本课程
52978,语文高考复习2,校本课程
53000,化学高考复习1,校本课程
53001,化学高考复习2,校本课程
52979,英语高考复习1,校本课程
52987,英语高考复习2,校本课程
52981,数学高考复习1,校本课程
52982,数学高考复习2,校本课程
52998,物理高考复习1,校本课程
52999,物理高考复习2,校本课程
47592,生物选修1（4）,生物
47108,生物选修3（5）,生物
47724,语文现当代散文名作欣赏（1）,语文
52969,公民课程14-15-2,校本课程
47514,化学选修2（2）,化学
47125,化学选修5（4）,化学
47141,英语初级文学阅读（Looking For Alaska ）（1）,英语
47664,英语中级文学阅读（The Unlikely Pilgrimage of Harold Fry ）（2）,英语
47612,数学选修2-2（4）,数学
47280,数学必修2-3（1）,数学
47559,男子软式垒球初级,体育
47347,物理选修3-4（1）,物理
47634,物理选修3-5（4）,物理
47371,政治必修3（4）,思想政治
52968,公民课程14-15-1,校本课程
45508,化学选修1,化学
48341,化学选修4,化学
45200,英语中级文学阅读（4）,英语
45225,地理必修3,地理
45237,历史必修3,历史
45263,数学必修3（理）（5）,数学
49076,数学选修2-1,数学
48662,粘土手工设计与制作,艺术
48599,吉他初级,艺术
49029,研究性学习活动2,研究性学习活动
48853,生物必修3,生物
48000,地板球初级(男),体育
48900,物理选修3-1,物理
49052,唐宋八大家文选,语文
49112,英语文学阅读5,英语
49060,政治必修4,思想政治
45291,空竹初级（2）,体育
45301,物理选修3-2（4）,物理
48837,电视节目设计制作,综合技术
49033,语文必修4,语文
49116,信息必修1,信息技术
48576,男子羽毛球2,体育
49073,美国BSCS生物实验,生物
48878,英语必修3,英语
48865,物理必修2,物理
48823,戏剧表演,艺术
48349,地理必修2,地理
49056,数学必修2,数学
49034,语文必修3,语文
49039,政治必修2,思想政治
48353,心智培训,校本课程
48211,节奏乐坊,艺术
49044,研究性学习活动1,研究性学习活动
49032,化学必修2,化学
47858,公民课程13-14.2,校本课程
48869,历史必修2,历史
48741,生物必修2,生物
49045,英语必修4,英语
49114,男子地板球2,体育
49035,数学必修5,数学
49117,音响操作与现场录制（学段制）,艺术
49317,公民课程134.1,校本课程
48887,政治必修1,思想政治
48686,数学必修4,数学
48866,历史必修1,历史
48855,生物必修1,生物
49038,英语必修1,英语
48913,通用必修1,通用技术
48274,美国BSCS生物实验,体育
48905,化学必修1,化学
49036,军训,社会实践
48763,北大讲堂课-人文,校本课程
48518,拓展训练课程,校本课程
48316,摄影,艺术
49042,语文必修2,语文
48862,物理必修1,物理
48810,男子田径,体育
48954,通用必修2,通用技术
48594,男子羽毛球1,体育
49048,英语必修2,英语
49030,语文必修1,语文
48133,北大讲堂课-科学,校本课程
48654,地理必修1,地理
48908,数学必修1,数学
320863,社区服务6(2017届),社区服务
320860,研究性学习6(2017届),研究性学习活动
312244,Frankenstein,校本课程
312029,物理选修3-3（热学研修）,物理
320866,社会实践6(2017届),社会实践
305712,Intensive Reading,校本课程
56098,经典名曲赏析,艺术
55997,諸子百家研讀,语文
56013,日本文学选读,语文
56000,海明威短篇小说选,语文
56251,微积分1,校本课程
56049,大学先修-中国通史（古代部分）,校本课程
321611,社会实践5(2017届),社会实践
52324,国文基础阅读(诗歌部分),语文
51521,公民课程,校本课程
52239,化学选修5,化学
57107,社区服务4(2017届),社区服务
52569,地理必修2,地理
52214,地理必修3,地理
52668,英文报刊选读,英语
52747,数字素养,信息技术
52459,数学荣誉课程4,数学
52380,篮球初级,体育
52682,篮球中级,体育
52190,物理选修3-4研修,物理
52519,政治必修3,思想政治
50699,生物必修3,生物
50879,理论生态学与建模,校本课程
47697,公民课程,校本课程
50749,化学选修1,化学
50756,化学选修4,化学
50770,历史必修3,历史
50459,数学荣誉课程3,数学
50501,篮球初级,体育
50886,软式棒垒球初级,体育
50626,物理选修3-1(电学研修),物理
50627,物理选修3-2(电学研修),物理
50617,政治必修4,思想政治
47585,生物必修2（3）,生物
47783,语文《古文观止》研读（2）,语文
47508,化学必修2（1）,化学
47144,英语中级文学阅读（短篇小说）（2）,英语
47617,素描（初级）,艺术
47234,历史必修2（4）,历史
52939,研究性学习2(2017届),研究性学习活动
47249,信息技术文化（2）,信息技术
47291,数学荣誉课程2（3）,数学
47556,男子田径,体育
47310,男子乒乓球中级,体育
47343,物理必修2（力学研修）（1）,物理
45177,生物必修1,生物
45128,《史记》人物传记研读,语文
49141,化学必修1,化学
45191,英语文学阅读1（3）,英语
45382,通用学术英语（学期）,校本课程
45377,历史地理专题,校本课程
52938,研究性学习1(2017届),研究性学习活动
45269,数学荣誉课程1(1),数学
47947,北大讲堂课-人文,校本课程
49296,军训,社会实践
49130,拓展训练课程,校本课程
49273,物理必修1,物理
48707,书院杯篮球课,体育
47881,《唐诗三百首》赏读,语文
48814,元培历史必修1,历史
45281,乒乓球初级（男）,体育
45313,政治必修1（3）,思想政治
45452,纪录片创作---学期课(2),艺术
52435,电影艺术基础,艺术
52871,Latin 2,校本课程
52855,Cognitive Science: Human Minds and Artificial Intelligence,校本课程
50880,文化地理专题,校本课程
50670,服装设计,通用技术
50837,A Tale of Two Cities,英语
51417,Latin 1,校本课程
50449,柔道初级,体育
47593,生物选修1（5）,生物
47187,格物书院舞蹈节剧组（学期）,艺术
47688,背包旅行与异域文化,校本课程
47259,走出校园实用英文（2）,校本课程
47781,德语,校本课程
47266,Oscar Wilde's Tales 导读,英语
47476,The Great Gatsby 导读,英语
47295,微积分1（1）,校本课程
45463,男、女混合乒乓球俱乐部1学年课,体育
47679,政治必修3（2）,思想政治
45123,生物必修3,生物
45261,数学必修3（理）（3）,数学
49065,《镜--当代散文名作》欣赏,语文
48066,数学选修2-1,数学
49088,女子乒乓球1,体育
47961,物理选修3-1,物理
49055,地理必修3,地理
48236,英语文学阅读5,英语
47998,社会实践2,社会实践
47967,政治必修4,思想政治
48235,一个专业_一个世界(包括外请专家讲座),校本课程
48652,女子乒乓球2,体育
48844,通用必修1,通用技术
49031,数学必修2,数学
48484,女子跆拳道2,体育
49086,格物书院舞蹈节剧组(学期制),艺术
49040,音响操作与现场录制,艺术
49049,通用必修2,通用技术
49054,数学必修5,数学
49046,信息必修1,信息技术
48661,平面设计(美术),艺术
49066,华尔兹（学段制）,艺术
49062,北京的变迁,校本课程
48901,信息选修1,信息技术
48498,女子健美操、瑜伽1,体育
48021,女子田径,体育
47115,元培生物SL4（3）,生物
47713,语文唐宋八大家文选（1）,语文
47135,化学荣誉课程4SL,化学
47161,通用学术英语,校本课程
47186,"钢琴演奏工作室2
（学期）",艺术
47195,踢踏舞入门,艺术
47292,元培数学荣誉课程4HL（1）,数学
47339,女子艺术体操中级,体育
49322,体育舞蹈,体育
47356,物理荣誉课程4SL,物理
45387,中国现当代散文欣赏,语文
45140,化学荣誉课程3,化学
45378,文化地理专题,校本课程
45245,Java程序设计,信息技术
45273,数学荣誉课程3SL(1),数学
49090,女子地板球1,体育
48166,元培哲学,思想政治
49253,红楼梦,语文
47995,西方音乐史(古典、浪漫时期音乐体验),艺术
49254,英语文学阅读5,英语
45282,乒乓球初级（女）,体育
45309,物理荣誉课程3SL,物理
49139,力学专题研修,校本课程
49225,英语必修3-HL,英语
48321,女子艺术体操,体育
48734,中国近现代史,历史
49233,语文必修4-SL,语文
49231,地貌学,地理
48894,数学必修2-SL,数学
49250,数学必修5-SL,数学
49217,生物必修1(SL),生物
48651,女子田径,体育
49232,语文必修3-SL,语文
49246,物理选修3-1-SL,物理
47873,法学,思想政治
49229,无机化学3(SL),化学
49247,英语必修4-SL,英语
48591,政治学,思想政治
49220,语文必修2-SL,语文
49241,信息必修1,信息技术
49213,语文必修1-SL,语文
48082,女子排球1,体育
48724,生物必修2(SL),生物
48874,物理必修2-SL,物理
49248,物理必修1-SL,物理
48154,无伴奏人声合唱II,艺术
49218,数学必修1-SL,数学
49228,数学必修4-SL,数学
49222,化学必修1-SL,化学
48915,英语必修2-HL,英语
48884,自然地理学,地理
48802,生物必修3(SL),生物
48582,经济学,思想政治
49230,无机化学2-SL,化学
49053,女子排球2,体育
48356,舞蹈(牛仔舞),艺术
49211,英语必修1-SL,英语
52334,西方文学选读,语文
52404,吉他(初级),艺术
52443,烘焙技术,通用技术
51549,足球俱乐部,体育
51011,生物荣誉课程1,生物
50840,Hamlet,英语
50605,网络安全,信息技术
51375,Spanish Level 1,校本课程
51393,Business & Finance Mathematics,校本课程
50716,足球俱乐部,体育
47134,化学荣誉课程4SL,化学
47214,地理必修2（1）,地理
47597,世界近现代史（2）,历史
47686,周易研读,语文
47691,走出校园实用英文,校本选修
47293,元培数学荣誉课程4HL（2）,数学
47297,图论,校本课程
47554,男子地板球初级,体育
47320,男子足球高级,体育
45459,男、女混合足球俱乐部（1学年）,体育
47629,物理选修3-3（1）,物理
47350,物理选修3-4（4）,物理
47374,元培政治学（2）,思想政治
45141,化学荣誉课程3,化学
45361,《韩非子》研读,语文
45243,算法与程序设计（C）,信息技术
48787,生物必修1,生物
49269,万历十五年,历史
49122,英语文学阅读5,英语
45310,物理荣誉课程3HL,物理
45390,大学先修微积分I(学期课),校本课程
45438,Economics 1.1,思想政治
48914,无机化学实验,校本课程
48635,文化地理专题,地理
48767,物理选修3-2-HL,物理
48609,自然地理学,地理
49235,数学必修5-HL,数学
49089,男子足球2,体育
48536,物理选修3-1-SL,物理
49239,数学必修2-HL,数学
48219,探戈,艺术
48836,男子排球1,体育
48566,男子软式垒球,体育
48883,信息技术必修1,信息技术
48565,数学与文化I,数学
49226,物理必修2-SL,物理
49255,物理必修1-SL,物理
48112,5、6、7单元男足,体育
49251,化学必修1-SL,化学
49234,数学必修4-HL,数学
48616,摄影,艺术
48469,历史地理专题,人文
49236,数学必修1-HL,数学
47733,语文《老子》研读,语文
47121,化学选修1,化学
47599,书籍设计,艺术
47200,音响操作与现场录制,艺术
45262,数学必修3（理）（4）,数学
47926,生物必修3,生物
48043,福柯之《疯癫与文明》导读,思想政治
45477,Spanish 1.2,其他
48036,平面设计(美术),艺术
47934,政治必修3,思想政治
47839,物理选修3-4,物理
47907,男子空竹,体育
47945,物理选修3-5,物理
47963,极限飞盘(男女混合授课),体育
48298,插画初级,艺术
47898,研究性学习活动2,研究性学习活动
48467,男子乒乓球2,体育
47931,物理选修3-1,物理
48461,数学选修3-2,数学
47889,极限飞盘(男女混合授课),体育
48453,语文必修4,语文
47850,研究性学习活动1,研究性学习活动
48470,语文必修3,语文
48059,通用必修1,通用技术
48455,语文必修2,语文
48474,地理必修1,地理
47867,军训,社会实践
47842,拓展训练课程,校本课程
47968,摄影,艺术
48471,语文必修1,语文
325510,生物高考复习3,校本课程
325511,生物高考复习4,校本课程
325512,语文高考复习3,校本课程
325513,语文高考复习4,校本课程
325514,化学高考复习3,校本课程
325515,化学高考复习4,校本课程
325516,英语高考复习3,校本课程
325517,英语高考复习4,校本课程
325522,数学高考复习3,校本课程
325523,数学高考复习4,校本课程
325524,物理高考复习3,校本课程
325525,物理高考复习4,校本课程
305713,生物高考复习1,校本课程
312380,生物高考复习2,校本课程
305781,语文高考复习1,校本课程
312381,语文高考复习2,校本课程
305875,化学高考复习1,校本课程
312382,化学高考复习2,校本课程
305873,英语高考复习1,校本课程
312383,英语高考复习2,校本课程
305872,数学高考复习1,校本课程
312386,数学高考复习2,校本课程
305874,物理高考复习1,校本课程
312387,物理高考复习 2,校本课程
52228,生物选修1,生物
52517,生物选修3,生物
52650,国文基础阅读(文言文部分),语文
52325,中国现当代小说选读,语文
51525,公民课程,校本课程
52500,化学选修2,化学
52187,化学选修5,化学
52193,Tuesday with Morrie,英语
52506,We were Liars,英语
52211,地理必修3,地理
57098,研究性学习4(2017届),研究性学习活动
52438,数字素养,信息技术
52552,数学选修2-2,数学
52243,数学选修2-3,数学
52557,数学选修4-1,数学
52248,数学选修4-4,数学
52676,田径,体育
52397,书院杯足球赛,体育
52458,物理荣誉课程4,物理
52524,政治必修3,思想政治
50613,生物必修3,生物
50643,中国现当代小说选读,语文
50989,西方文学选读,语文
47701,公民课程,校本课程
50680,化学选修1,化学
50677,化学选修4,化学
50865,Divergent,英语
50866,The Fault In Our Stars,英语
50897,流行乐队演奏,艺术
50769,历史必修3,历史
50946,数学必修3,数学
50949,数学选修2-1,数学
50706,物理荣誉课程3,物理
50616,政治必修4,思想政治
50634,创意电子,综合技术
50440,创意设计与制作(初级),综合技术
47101,生物必修2（2）,生物
47732,语文现当代散文名作欣赏（2）,语文
47750,语文《论语》研读,语文
47511,化学必修2（4）,化学
47153,英语中级文学阅读（The Rosie Project）（3）,英语
47182,流行乐队演奏（学期）,艺术
47189,诚意书院舞蹈节剧组（学期）,艺术
47488,地理必修2（3）,地理
47533,历史必修2（1）,历史
47600,数学必修2（1）,数学
47269,数学必修5（1）,数学
47316,男女混合足球赛事,体育
47327,男子篮球中级,体育
47354,物理荣誉课程2（1）,物理
47366,政治必修2（5）,思想政治
49340,心智活动,校本课程
45129,《史记》人物传记研读,语文
45133,化学必修1,化学
52936,社区服务1(2017届),社区服务
45196,英语文学阅读1（9）,英语
49294,地理必修1,地理
45235,历史必修1,历史
49302,数学必修1,数学
45251,数学必修4（2）,数学
49161,鲁迅作品选读,语文
48597,男子足球1,体育
49304,多媒体技术,信息技术
45154,足球中级（男）（1）,体育
45307,物理荣誉课程1（1）,物理
45315,政治必修1（5）,思想政治
45406,流行乐队演奏(学期制),艺术
325518,地理高考复习3,校本课程
325519,地理高考复习4,校本课程
325520,历史高考复习3,校本课程
325521,历史高考复习4,校本课程
325526,政治高考复习3,校本课程
325527,政治高考复习4,校本课程
321711,社区服务5(2017届),社区服务
305878,地理高考复习1,校本课程
312384,地理高考复习2,校本课程
305877,历史高考复习1,校本课程
312385,历史高考复习2,校本课程
305876,政治高考复习1,校本课程
312388,政治高考复习2,校本课程
52320,《唐诗三百首》赏读,语文
51523,公民课程,校本课程
52210,化学选修1,化学
52216,Tuesday with Morrie,英语
52241,地理选修3,地理
52550,地理选修5,地理
52189,历史选修1,历史
52502,历史选修4,历史
52208,数学选修1-1,数学
